id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
BH-13,البحرين,العاصمة,—,المنامة,—,محافظة العاصمة,المنامة,محافظة+مدينة+عاصمة,26.2285,50.5860,10,548345,2020,تعداد 2020 (نشرات 535–548 ألف),2020,🟡,سترة هنا بعد 2014؛ قلعة البحرين ليست هنا؛ أعلى كثافة
BH-15,البحرين,المحرق,—,المحرق,—,محافظة المحرق,المحرق,محافظة+مدينة,26.2572,50.6119,5,268106,2020,تعداد 2020,2020,🟢,مسار اللؤلؤ يونسكو والمطار وأمواج؛ العاصمة التاريخية
BH-17,البحرين,الشمالية,—,جدحفص,—,المحافظة الشمالية,الشمالية,محافظة,26.2186,50.5477,10,379637,2020,تعداد 2020,2020,🟢,مدينة حمد وقلعة البحرين وباربار والخميس؛ عيسى ليست هنا
BH-14,البحرين,الجنوبية,—,الرفاع,—,المحافظة الجنوبية,الجنوبية,محافظة,26.1300,50.5550,40,305547,2020,تعداد 2020,2020,🟢,أكبر مساحة؛ عيسى والصخير وحوار وجبل الدخان؛ ليست دخان قطر
BH-CITY-المحرق,البحرين,المحرق,—,المحرق,—,المحرق,Al-Muḥarraq,مدينة,26.2572,50.6119,5,268106,2020,تعداد المحافظة 17 مارس 2020؛ نواة 91307 في 2001,2020,🟢,مسار اللؤلؤ والمطار؛ ليست المنامة
BH-CITY-الحد,البحرين,المحرق,—,الحد,—,الحد,Al-Ḥadd,مدينة,26.2450,50.6540,5,11637,2001,تعداد CIO 2001 عبر citypopulation,2001,🟢,ميناء الشيخ خليفة؛ ليست سترة
BH-CITY-عراد,البحرين,المحرق,—,عراد,—,عراد,ʿArād,مدينة,26.2570,50.6270,5,,,لم أجد رقم 2020 منفصلًا,2020,🟡,قلعة عراد هنا
BH-CITY-أمواج,البحرين,المحرق,—,أمواج,—,أمواج,Amwāj,مدينة,26.2900,50.6650,3,,,استصلاح حديث بلا تعداد نواة,—,🟡,ليست المنامة وليست ديار المحرق
BH-CITY-سماهيج,البحرين,المحرق,—,سماهيج,—,سماهيج,Samāhīj,مدينة,26.2830,50.6330,5,,,لم أجد رقمًا موثوقًا كافيًا,—,🟠,شمال جزيرة المحرق
BH-CITY-قلالي,البحرين,المحرق,—,قلالي,—,قلالي,Qalālī,مدينة,26.2730,50.6500,5,,,لم أجد رقمًا موثوقًا كافيًا,—,🟠,شمال شرق المحرق
