id,schema_version,source_id,captured_at,checksum,method,notes,scope,title
SNP-AE-PILOT-20260815,2.0.0,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,2026-08-15,sha256:36bb74ddad5af21e21262c76cde5b87419572e3d670cbd82f2b8627c9e8e03f7,Offline deterministic import from checksum-bound relevant-text extracts and structured fixtures; official layer denominators remain separate and unavailable registries have no percentage.,"Dubai communities, all-UAE populated places, and neighborhoods remain denominator_unavailable. No fifth country is started.",Seven emirates; seven different official local hierarchy profiles; bounded all-emirate cultural and small dialect samples,United Arab Emirates fourth-country contextual hierarchy and cultural sample
SNP-JO-PILOT-2026-08-15,2.0.0,SRC-JO-REGULATION-29-2024,2026-08-15,sha256:621f22d080c883180907e7e178ea2fbdf99e0a080cb7316b23ca1956ecf67b47,"Offline deterministic import from checksum-bound legal, institutional, entity-resolution, and cultural fixtures; current hierarchy derived by applying Regulation No. 29 of 2024 to Regulation No. 46 of 2000.",Municipalities are a parallel local-administration scope and are not declared complete. DoS statistical qada are not imported as extra legal qada.,"Jordan: 12 governorates, 55 liwa, 36 qada, eight UNESCO World Heritage properties, and four bounded populated/historical places",Jordan Phase 3 legal hierarchy and bounded content snapshot
SNP-LY-CENSUS-2006,2.0.0,SRC-LY-BSC-CENSUS-2006,2006-04-15,,Migrated to a historical hierarchy distinct from current municipalities,,22 historical sha‘biyat/census regions,Libya 2006 census-region snapshot
SNP-LY-MUNICIPALITIES-2026-08-15,2.0.0,SRC-LY-MOLG-MUNICIPALITIES-2026,2026-08-15,,"Exact normalized Arabic-name matching, with one explicit article variant","The extraction was used to match identities, not to accept a national denominator. No legal effective date was inferred from retrieval date.",Retrieved Ministry municipality catalogue; legacy subset matching only; denominator unresolved,Libya Ministry of Local Government municipality register retrieval
SNP-MIGRATION-2026-08-15,2.0.0,SRC-ARAB-FINAL-AUDIT-2026,2026-08-15,,Dependency-free deterministic migration with row-level disposition ledger,The checksum is represented by per-file Git history and generated-data freshness checks.,All 24 legacy CSV files and 22 country manifests,Schema v1 legacy migration baseline
SNP-SA-ADMIN-20260815,2.0.0,SRC-SA-ADMIN-SNAPSHOT-CATALOG-2026,2026-08-15,sha256:f3c996ae39b3a1e5db9b4ec1832b8c12d430f16551f4a003328e466303da6b3a,GitHub Actions retrieval for administrative HTML; deterministic local parsing; bounded manual extraction for institutional content,Administrative records are immutable local inputs. Remote cultural records are bounded by atomic source metadata and exact locators.,15 checksum-verified administrative HTML snapshots plus bounded institutional/scholarly content locators,Saudi administrative and bounded-content evidence snapshot
SNP-TN-ADMIN-2026-08-15,2.0.0,SRC-TN-MOI-DELEGATIONS-2013,2026-08-15,,Matched normalized Arabic name and governorate parent against legacy rows; retained one representation per entity,Temporal coverage is blank on the official page; current-status interpretation remains subject to denominator reconciliation.,Detailed official table listing 24 governorates and 264 delegations,Tunisia governorates and delegations source retrieval
SNP-TN-CODAB-2022-11-15,2.0.0,SRC-TN-HDX-CODAB-2022,2022-11-15,sha256:7edfdf49eeb93d1cd7c1443f2fec0a57ade847bae2b08450cc3d99138d5ddac9,"Deterministic reconstruction from rendered institutional workbook, metadata totals, and reviewed transcription","Checksum is for the committed reconstructed CSV, not the unavailable upstream XLSX bytes.","24 governorates, 264 delegations, and 2,084 imadas",Tunisia COD-AB v01 dated administrative snapshot
SNP-TN-MUNICIPALITIES-2024-01,2.0.0,SRC-TN-DGCL-MUNICIPALITIES-2024,2024-01-01,sha256:b53d328fca053c49c1ee46b6b9e95bfe8cb7ca4a41abc81ce9c37bfe918fe1ad,Deterministic transcription of official bilingual workbook with reviewed one-to-one geometry links,Date is month precision normalized to its first day. Checksum is for the committed reconstructed CSV.,350 coded municipalities,"Tunisia official municipality register, January 2024"
SNP-TN-RGPH-2014,2.0.0,SRC-TN-INS-RGPH-2014,2014-04-23,,"Exact values transcribed from INS RGPH Volume 3, PDF page 47; legacy rounded mismatches are corrected deterministically",Volume 0 is a rounded summary and is not evidence for exact values.,24 governorate population values,Tunisia RGPH 2014 governorate population snapshot
SNP-TN-UNESCO-WHC-2026-08-15,2.0.0,SRC-UNESCO-WHC-TN-2026,2026-08-15,,State Party list count and individual property records,Live institutional register retrieved on the snapshot date.,Ten World Heritage properties listed for Tunisia,UNESCO World Heritage properties in Tunisia
