id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
DJ-DJ,جيبوتي,جيبوتي,—,جيبوتي,—,Djibouti,Ville de Djibouti / Jībūtī,مدينة+إقليم+عاصمة,11.5883,43.1450,14,475322,2009,تعداد 29 مايو 2009 (2024: 767250 🟡 INSTAD عبر citypopulation؛ مجموع 2024 الوطني 1066809),2009/2024,🟢,ISO DJ-DJ لا DJ-DI؛ بلبالا بلدية؛ المطار أمبولي هنا لا أوبوك
DJ-AS,جيبوتي,علي صبيح,—,علي صبيح,—,Ali Sabieh,‘Alī Şabīḩ,إقليم,11.1558,42.7125,700,86949,2009,تعداد 29 مايو 2009 (2024: 76414 🟡),2009/2024,🟢,حدود إثيوبيا؛ الخط الحديدي؛ حلحول وعلي عده هنا
DJ-AR,جيبوتي,عرتا,—,عرتا,—,Arta,‘Artā / أرتا,إقليم,11.5264,42.8519,755,42380,2009,تعداد 29 مايو 2009 (2024: 48922 🟡),2009/2024,🟢,استُحدث 2003؛ جنوب/جنوب غرب العاصمة لا الشمال؛ داميرجوغ/لويادا هنا
DJ-DI,جيبوتي,دخيل,—,دخيل,—,Dikhil,Dikhīl,إقليم,11.1047,42.3697,500,88948,2009,تعداد 29 مايو 2009 (2024: 66196 🟡),2009/2024,🟢,ISO DJ-DI لا DJ-DK؛ بحيرة أبي هنا؛ عسل ليست هنا
DJ-OB,جيبوتي,أوبوك,—,أوبوك,—,Obock,Awbūk / أبوك / أبخ,إقليم,11.9669,43.2906,15,37856,2009,تعداد 29 مايو 2009 (2024: 47382 🟡؛ ويكيبيديا 37666),2009/2024,🟢,أول مقر فرنسي 1862–1894؛ خور عنجر؛ المطار الدولي ليس هنا
DJ-TA,جيبوتي,تاجورة,—,تاجورة,—,Tadjourah,Tājūrah / تجرة,إقليم,11.7853,42.8844,10,86704,2009,تعداد 29 مايو 2009 (2024: 60645 🟡؛ ويكيبيديا 50645),2009/2024,🟢,بحيرة عسل وغابة داي وموسى علي؛ ليست أبي
DJ-DJ,جيبوتي,مدينة جيبوتي,—,—,—,مدينة جيبوتي,—,ville,,,,767250,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,DJ-DJ؛ 173 كم²؛ الكثافة 4435 ن/كم²؛ التغير عن 2009: +61.4%؛ 71.9% من سكان البلاد على 0.8% من المساحة
DJ-DI,جيبوتي,دخيل,—,—,—,دخيل,—,إقليم,,,,66196,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,DJ-DI؛ 6857 كم²؛ الكثافة 10 ن/كم²؛ التغير عن 2009: -25.6% 🔻 تراجع سكاني فعلي بين تعدادين
DJ-AS,جيبوتي,علي صبيح,—,—,—,علي صبيح,—,إقليم,,,,76414,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,DJ-AS؛ 1923 كم²؛ الكثافة 40 ن/كم²؛ التغير عن 2009: -12.1% 🔻 تراجع سكاني فعلي بين تعدادين
DJ-TA,جيبوتي,تاجورة,—,—,—,تاجورة,—,إقليم,,,,60645,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,DJ-TA؛ 6382 كم²؛ الكثافة 10 ن/كم²؛ التغير عن 2009: -30.1% 🔻 تراجع سكاني فعلي بين تعدادين
DJ-AR,جيبوتي,عرتا,—,—,—,عرتا,—,إقليم,,,,48922,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,DJ-AR؛ 1813 كم²؛ الكثافة 27 ن/كم²؛ التغير عن 2009: +15.4%
DJ-OB,جيبوتي,أوبوك,—,—,—,أوبوك,—,إقليم,,,,47382,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,DJ-OB؛ 4529 كم²؛ الكثافة 10 ن/كم²؛ التغير عن 2009: +25.2%
DJ-C1,جيبوتي,مدينة جيبوتي,—,جيبوتي,—,جيبوتي,—,مدينة,,,,767250,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,من أكبر مدن جيبوتي
DJ-C2,جيبوتي,علي صبيح,—,علي صبيح,—,علي صبيح,—,مدينة,,,,45092,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,من أكبر مدن جيبوتي
DJ-C3,جيبوتي,أوبوك,—,أوبوك,—,أوبوك,—,مدينة,,,,29954,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,من أكبر مدن جيبوتي
DJ-C4,جيبوتي,دخيل,—,دخيل,—,دخيل,—,مدينة,,,,27722,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,من أكبر مدن جيبوتي
DJ-C5,جيبوتي,تاجورة,—,تاجورة,—,تاجورة,—,مدينة,,,,19527,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,من أكبر مدن جيبوتي
DJ-C6,جيبوتي,علي صبيح,—,علي عدي,—,علي عدي,—,مدينة,,,,12763,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,من أكبر مدن جيبوتي
DJ-C7,جيبوتي,عرتا,—,عرتا,—,عرتا,—,مدينة,,,,11462,2024,INSTAD — التعداد العام 20 مايو 2024 / تعداد 29 مايو 2009,2024,🟢,من أكبر مدن جيبوتي
DJ-DS001,جيبوتي,,مقاطعة جيبوتي,,,جيبوتي,,مقاطعة (المستوى الثاني),,,,,,وزارة الداخلية الجيبوتية,2024,🟢,ملف مستقل: الدول/جيبوتي/المقاطعات_الفرعية/جيبوتي.md
DJ-DS002,جيبوتي,,مقاطعة علي صبيح,,,علي صبيح,,مقاطعة (المستوى الثاني),,,,,,وزارة الداخلية الجيبوتية,2024,🟢,ملف مستقل: الدول/جيبوتي/المقاطعات_الفرعية/علي صبيح.md
DJ-DS003,جيبوتي,,مقاطعة أوبوك,,,أوبوك,,مقاطعة (المستوى الثاني),,,,,,وزارة الداخلية الجيبوتية,2024,🟢,ملف مستقل: الدول/جيبوتي/المقاطعات_الفرعية/أوبوك.md
DJ-DS004,جيبوتي,,مقاطعة دخيل,,,دخيل,,مقاطعة (المستوى الثاني),,,,,,وزارة الداخلية الجيبوتية,2024,🟢,ملف مستقل: الدول/جيبوتي/المقاطعات_الفرعية/دخيل.md
DJ-DS005,جيبوتي,,مقاطعة تاجورة,,,تاجورة,,مقاطعة (المستوى الثاني),,,,,,وزارة الداخلية الجيبوتية,2024,🟢,ملف مستقل: الدول/جيبوتي/المقاطعات_الفرعية/تاجورة.md
DJ-DS006,جيبوتي,,مقاطعة علي عدي,,,علي عدي,,مقاطعة (المستوى الثاني),,,,,,وزارة الداخلية الجيبوتية,2024,🟢,ملف مستقل: الدول/جيبوتي/المقاطعات_الفرعية/علي عدي.md
DJ-DS007,جيبوتي,,مقاطعة عرتا,,,عرتا,,مقاطعة (المستوى الثاني),,,,,,وزارة الداخلية الجيبوتية,2024,🟢,ملف مستقل: الدول/جيبوتي/المقاطعات_الفرعية/عرتا.md
