id,schema_version,country_code,source_id,complete,coverage_percentage,denominator,denominator_id,excluded,exclusion_reasons,layer,license,matched,missing,missing_reason,notes,snapshot_date,snapshot_id,unmatched
COV-AE-ABU-DHABI-MUNICIPALITY-JURISDICTIONS,2.0.0,AE,SRC-AE-DMT-THREE-MUNICIPALITIES-2026,True,100.0,3,DEN-AE-ABU-DHABI-MUNICIPALITY-JURISDICTIONS,0,[],abu_dhabi_municipality_jurisdictions,Official Abu Dhabi government page; reuse terms not stated,3,0,,Three Abu Dhabi municipality jurisdictions named as DMT sub-sector regulatory authorities. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-AJMAN-CONSTITUENTS,2.0.0,AE,SRC-AE-AJMAN-ABOUT-2026,True,100.0,3,DEN-AE-AJMAN-CONSTITUENTS,0,[],ajman_constituents,Official Ajman government page; reuse terms not stated,3,0,,Three named Ajman constituents with source-mixed city/area wording. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-COUNTRY-SCOPE,2.0.0,AE,SRC-ISO-3166-1-2020,True,100.0,1,DEN-AE-COUNTRY-SCOPE,0,[],country_scope,ISO copyright; reuse is subject to ISO terms of use,1,0,,ISO country entity in the project's 22-country scope. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-DUBAI-PLANNING-COMMUNITIES,2.0.0,AE,SRC-AE-DUBAI-PULSE-COMMUNITIES-2025,False,,,DEN-AE-DUBAI-PLANNING-COMMUNITIES,0,[],dubai_planning_communities,License not specified on captured dataset metadata,0,,"denominator_unavailable: official Community.kml metadata was found, but the file could not be retrieved or enumerated; no web list or selected statistical rows were treated as a denominator",Dubai three-digit planning communities; official layer available but enumerable denominator unavailable in this snapshot. No percentage is calculated.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-DUBAI-PLANNING-SECTORS,2.0.0,AE,SRC-AE-DSC-SECTORS-2022,True,100.0,9,DEN-AE-DUBAI-PLANNING-SECTORS,0,[],dubai_planning_sectors,Official Dubai government publication; reuse terms not stated in captured index,9,0,,Nine official numbered planning/statistical sectors of Dubai. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-EMIRATES,2.0.0,AE,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,True,100.0,7,DEN-AE-EMIRATES,0,[],emirates,Official UAE Government portal; reuse terms not stated on captured page,7,0,,Seven constituent emirates named by the federal government portal. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-FUJAIRAH-MUNICIPAL-AUTHORITIES,2.0.0,AE,SRC-AE-FUJAIRAH-GIS-2017,True,100.0,2,DEN-AE-FUJAIRAH-MUNICIPAL-AUTHORITIES,0,[],fujairah_municipal_authorities,Official Fujairah government page; reuse terms not stated,2,0,,Two municipality authorities named as official GIS integration counterparts. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-NEIGHBORHOODS,2.0.0,AE,SRC-AE-DUBAI-PULSE-COMMUNITIES-2025,False,,,DEN-AE-NEIGHBORHOODS,0,[],neighborhoods,License not specified on captured dataset metadata,0,,denominator_unavailable: no dated enumerable official cross-emirate neighborhood registry was established; no percentage is calculated,Named neighborhoods across all emirates. No percentage is calculated.,2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-POPULATED-PLACES,2.0.0,AE,SRC-AE-FEDERAL-SEVEN-EMIRATES-2026,False,,,DEN-AE-POPULATED-PLACES,0,[],populated_places,Official UAE Government portal; reuse terms not stated on captured page,0,,"denominator_unavailable: no dated enumerable official UAE-wide registry of cities, towns, villages, or settlements was established; contextual page mentions are not a denominator","Cities, towns, villages, and other populated settlements. No percentage is calculated.",2026-08-15,SNP-AE-PILOT-20260815,0
COV-AE-RAK-ADMINISTRATIVE-AREAS,2.0.0,AE,SRC-AE-RAK-GENERAL-2026,True,100.0,5,DEN-AE-RAK-ADMINISTRATIVE-AREAS,0,[],rak_administrative_areas,Official Ras Al Khaimah government page; reuse terms not stated,5,0,,Five numbered administrative areas of Ras Al Khaimah. Every in-scope row is matched; no exclusions.,2026-08-15,SNP-AE-PILOT-20260815,0
