id,schema_version,country_code,canonical_name,entity_type,status,canonical_name_language,canonical_source_id,confidence,coordinates,legacy_ids,notes,source_locator,valid_from,valid_to,verification_status
ENT-AE-ABU-DHABI-MUNICIPALITY,2.0.0,AE,Abu Dhabi City Municipality,ae_abu_dhabi_municipality_jurisdiction,current,en,SRC-AE-DMT-THREE-MUNICIPALITIES-2026,high,,[],Contextual UAE type; layer=abu_dhabi_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,paragraph naming the three municipalities; item 1,,,source_verified
ENT-AE-AJMAN-CONSTITUENT,2.0.0,AE,Ajman,ae_ajman_constituent,current,en,SRC-AE-AJMAN-ABOUT-2026,high,,[],Contextual UAE type; layer=ajman_constituents; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"overview clause naming Ajman, Manama, and Masfout; Ajman item",,,source_verified
ENT-AE-AL-AIN-MUNICIPALITY,2.0.0,AE,Al Ain City Municipality,ae_abu_dhabi_municipality_jurisdiction,current,en,SRC-AE-DMT-THREE-MUNICIPALITIES-2026,high,,[],Contextual UAE type; layer=abu_dhabi_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,paragraph naming the three municipalities; item 2,,,source_verified
ENT-AE-AL-BATAYEH-MUNICIPALITY,2.0.0,AE,Al Batayeh Region Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Al Batayeh Region Municipality,,,source_verified
ENT-AE-AL-DHAFRA-MUNICIPALITY,2.0.0,AE,Al Dhafra Region Municipality,ae_abu_dhabi_municipality_jurisdiction,current,en,SRC-AE-DMT-THREE-MUNICIPALITIES-2026,high,,[],Contextual UAE type; layer=abu_dhabi_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,paragraph naming the three municipalities; item 3,,,source_verified
ENT-AE-AL-DHAID-MUNICIPALITY,2.0.0,AE,Al Dhaid City Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Al Dhaid City Municipality,,,source_verified
ENT-AE-AL-HAMRIYAH-MUNICIPALITY,2.0.0,AE,Al Hamriyah Region Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Al Hamriyah Region Municipality,,,source_verified
ENT-AE-AL-MADAM-MUNICIPALITY,2.0.0,AE,Al Madam Region Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Al Madam Region Municipality,,,source_verified
ENT-AE-COUNTRY,2.0.0,AE,الإمارات,country,current,ar,SRC-ISO-3166-1-2020,high,,[],Project country scope; this entity does not imply local-place completeness.,ISO alpha-2 entry AE,,,verified
ENT-AE-DIBBA-AL-HISN-MUNICIPALITY,2.0.0,AE,Dibba Al Hisn City Municipality,ae_sharjah_municipality_jurisdiction,current,en,SRC-AE-SGMB-MUNICIPALITIES-2023,high,,[],Contextual UAE type; layer=sharjah_municipality_jurisdictions; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,municipality enumeration: Dibba Al Hisn City Municipality,,,source_verified
ENT-AE-DIBBA-MUNICIPALITY,2.0.0,AE,Dibba Municipality,ae_fujairah_municipal_authority,current,en,SRC-AE-FUJAIRAH-GIS-2017,high,,[],Contextual UAE type; layer=fujairah_municipal_authorities; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,GIS centre establishment paragraph: Dibba Municipality,,,source_verified
ENT-AE-DUBAI-SECTOR-1,2.0.0,AE,Sector 1,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 1",,,source_verified
ENT-AE-DUBAI-SECTOR-2,2.0.0,AE,Sector 2,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 2",,,source_verified
ENT-AE-DUBAI-SECTOR-3,2.0.0,AE,Sector 3,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 3",,,source_verified
ENT-AE-DUBAI-SECTOR-4,2.0.0,AE,Sector 4,ae_dubai_planning_sector,current,en,SRC-AE-DSC-SECTORS-2022,high,,[],Contextual UAE type; layer=dubai_planning_sectors; snapshot=2026-08-15. Administrative entities do not receive invented point coordinates.,"Population Bulletin 2022, Population Distribution by Sector / sector 4",,,source_verified
